Congruent,Incongruent,diff,,,,,,,,
12.079,19.278,-7.199,,6,接收,频率,累积 %,接收,频率,累积 %
16.791,18.741,-1.95,,8,6,0,0.00%,16,6,25.00%
9.564,21.214,-11.65,,10,8,0,0.00%,14,5,45.83%
8.63,15.687,-7.057,,12,10,4,16.67%,10,4,62.50%
14.669,22.803,-8.134,,14,12,2,25.00%,18,3,75.00%
12.238,20.878,-8.64,,16,14,5,45.83%,20,3,87.50%
14.692,24.572,-9.88,,18,16,6,70.83%,12,2,95.83%
8.987,17.394,-8.407,,20,18,3,83.33%,24,1,100.00%
9.401,20.762,-11.361,,22,20,3,95.83%,6,0,100.00%
14.48,26.282,-11.802,,24,22,0,95.83%,8,0,100.00%
22.328,24.524,-2.196,,26,24,1,100.00%,22,0,100.00%
15.298,18.644,-3.346,,28,26,0,100.00%,26,0,100.00%
15.073,17.51,-2.437,,30,28,0,100.00%,28,0,100.00%
16.929,20.33,-3.401,,,30,0,100.00%,30,0,100.00%
18.2,35.255,-17.055,,,其他,0,100.00%,其他,0,100.00%
12.13,22.158,-10.028,,,,,,,,
18.495,25.139,-6.644,,,,,,,,
10.639,20.429,-9.79,,,,,,,,
11.344,17.425,-6.081,,,接收,频率,,,,
12.369,34.288,-21.919,,,6,0,,,,
12.944,23.894,-10.95,,,8,0,,,,
14.233,17.96,-3.727,,,10,0,,,,
19.71,22.058,-2.348,,,12,0,,,,
16.004,21.157,-5.153,,,14,0,,,,
,,,,,16,1,,,,
14.051125,22.01591667,,,,18,4,,,,
3.559357958,4.797057122,4.86482691,,,20,3,,,,
,,,,,22,6,,,,
,,,,,24,4,,,,
,,,,,26,3,,,,
,,,,,28,1,,,,
,,,,,30,0,,,,
,,,,,其他,2,,,,
