imdb_id,keywords,release_year,budget_adj,revenue_adj,genres,production_companies,vote_average
tt0369610,monster|dna|tyrannosaurus rex|velociraptor|island,2015,137999939.3,1392445893,Action|Adventure|Science Fiction|Thriller,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,6.5
tt1392190,future|chase|post-apocalyptic|dystopia|australia,2015,137999939.3,348161292.5,Action|Adventure|Science Fiction|Thriller,Village Roadshow Pictures|Kennedy Miller Productions,7.1
tt2908446,based on novel|revolution|dystopia|sequel|dystopic future,2015,101199955.5,271619025.4,Adventure|Science Fiction|Thriller,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel,6.3
tt2488496,android|spaceship|jedi|space opera|3d,2015,183999919,1902723130,Action|Adventure|Science Fiction|Fantasy,Lucasfilm|Truenorth Productions|Bad Robot,7.5
tt2820852,car race|speed|revenge|suspense|car,2015,174799923.1,1385748801,Action|Crime|Thriller,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,7.3
tt1663202,father-son relationship|rape|based on novel|mountains|winter,2015,124199945.4,490314247,Western|Drama|Adventure|Thriller,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,7.2
tt1340138,saving the world|artificial intelligence|cyborg|killer robot|future,2015,142599937.3,405355075.7,Science Fiction|Action|Thriller|Adventure,Paramount Pictures|Skydance Productions,5.8
tt3659388,based on novel|mars|nasa|isolation|botanist,2015,99359956.28,547749654.3,Drama|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment,7.6
tt2293640,assistant|aftercreditsstinger|duringcreditsstinger|evil mastermind|minions,2015,68079970.04,1064192017,Family|Animation|Adventure|Comedy,Universal Pictures|Illumination Entertainment,6.5
tt2096673,dream|cartoon|imaginary friend|animation|kid,2015,160999929.2,785411574.7,Comedy|Animation|Family,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures,8
tt2379713,spy|based on novel|secret agent|sequel|james bond,2015,225399900.8,810220283.8,Action|Adventure|Crime,Columbia Pictures|Danjaq|B24,6.2
tt1617661,jupiter|space|woman director|3d|interspecies romance,DNA Films|Universal Pictures International (UPI)|Film4,2015/1/21,2854, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence,Drama|Science Fiction
tt2120120,video game|nerd|alien attack|3d|pixels,2015,80959964.38,224146025.1,Action|Comedy|Science Fiction,Columbia Pictures|Happy Madison Productions,5.8
tt2395427,marvel comic|comic|sequel|superhero|vision,2015,257599886.7,1292632337,Action|Adventure|Science Fiction,Marvel Studios|Prime Focus|Revolution Sun Studios,7.4
tt3460252,bounty hunter|wyoming|mountains|hangman|voice over narration,2015,40479982.19,143299244.6,Crime|Drama|Mystery|Western,Double Feature Films|The Weinstein Company|FilmColony,7.4
tt2446042,revenge|murder|on the run|fugitive|framed,2015,44159980.57,299709578.2,Crime|Action|Thriller,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|Ciné+,6.1
tt0478970,marvel comic|superhero|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe,2015,119599947.4,477113780,Science Fiction|Action|Adventure,Marvel Studios,7
tt1661199,cinderella|magic|fairy tale|princess|shoe,2015,87399961.54,498963025.2,Romance|Fantasy|Family|Drama,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,6.8
tt1951266,revolution|strong woman|dystopia|game of death|3d,2015,147199935.2,598481289.5,War|Adventure|Science Fiction,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,6.5
tt1964418,inventor|apocalypse|destiny|imax|dreamer,2015,174799923.1,192312729.9,Action|Family|Science Fiction|Adventure|Mystery,Walt Disney Pictures|Babieka|A113,6.2
tt1798684,sport,2015,27599987.86,84373003.72,Action|Drama,Escape Artists|Riche-Ludwig Productions,7.3
tt2126355,california|earthquake|catastrophe|disaster film|3d,2015,101199955.5,432851375,Action|Drama|Thriller,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company,6.1
tt2322441,based on novel|billionaire|bdsm|woman director|erotic movie,2015,36799983.81,524079119,Drama|Romance,Focus Features|Trigger Street Productions|Michael De Luca Productions,5.3
tt1596363,bank|fraud|biography|wall street|finances,2015,25759988.67,122678731.5,Comedy|Drama,Paramount Pictures|Plan B Entertainment|Regency Enterprises,7.3
tt2381249,spy|sequel|mission,2015,137999939.3,627743451.7,Action,Paramount Pictures|Skydance Productions|China Movie Channel|Bad Robot|TC Productions,7.1
tt2637276,sperm bank|sequel|buddy|courthouse|teddy bear,2015,62559972.47,198594430.1,Comedy,Universal Pictures|Media Rights Capital|Fuzzy Door Productions,6.3
tt2802144,spy|great britain|secret organization|secret agent|marvel comic,2015,74519967.21,371497801.7,Crime|Comedy|Action|Adventure,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,7.6
tt1895587,child abuse|journalism|judge|florida|boston,2015,18399991.9,81278719.4,Drama|Thriller|History,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,7.8
tt4046784,based on novel|resistance|maze|post-apocalyptic|dystopia,2015,56119975.31,286356245.9,Action|Science Fiction|Thriller,Gotham Group|Temple Hill Entertainment|TSG Entertainment,6.4
tt3168230,london|detective|sherlock holmes,2015,0,27006774.88,Mystery|Drama,BBC Films|See-Saw Films|FilmNation Entertainment|Archer Gray|AI-Film,6.4
tt1823672,artificial intelligence|android|robot|near future|robot cop,2015,45079980.16,93903685.24,Crime|Action|Science Fiction,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films,6.6
tt2848292,music|sequel|singer|male female relationship|audition,2015,26679988.26,264505582.1,Comedy|Music,Universal Pictures|Gold Circle Films|Brownstone Productions,6.8
tt3682448,spy|cia|cold war|pilot|lawyer,2015,36799983.81,149601569.3,Thriller|Drama,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions,7.1
tt1051904,based on novel|magic|fantasy|family|3d,2015,53359976.52,138157089,Adventure|Horror|Comedy,Columbia Pictures|Original Film|Scholastic Entertainment,6.2
tt3170832,based on novel|carpet|isolation|imprisonment|grandparents,2015,5519997.571,32569603.03,Drama|Thriller,Element Pictures|No Trace Camping|A24|Duperele Films,8
tt1291570,thriller|serial killer|psychic|fbi agent|intrigue,2015,0,20566197.19,Crime|Drama|Mystery,Eden Rock Media|FilmNation Entertainment|Flynn Picture Company,6.2
tt1979388,tyrannosaurus rex|friends|animation|alternate history|dinosaur,2015,160999929.2,305371920.9,Adventure|Animation|Comedy|Family|Fantasy,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,6.6
tt2199571,hitman|revenge|murder|on the run|mobster,2015,45999979.76,65836683.51,Action|Crime|Drama|Mystery|Thriller,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,6.3
tt2381111,love triangle|based on novel|homesickness|vororte|ship,2015,10119995.55,57110024.59,Drama|Romance,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions,7.3
tt1398426,brother brother relationship|aids|police brutality|hip-hop|wife husband relationship,2015,25759988.67,185504110.1,Drama|Music,New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz,7.7
tt1618442,new york|witch|uprising|witch hunter,2015,82799963.57,129164861.2,Fantasy|Action|Adventure,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,5.6
tt2080374,biography|computer|based on true story|father daughter relationship|apple computer,2015,27599987.86,31686509.22,History|Drama,Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360,6.9
tt1638355,spy|cold war|remake|based on tv series|buddy cop,2015,68999969.64,99493456.5,Comedy|Action|Adventure,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment,7
tt1655441,san francisco|immortality|love|forever,2015,22999989.88,39219376.66,Fantasy|Drama|Romance,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity,7.3
tt3072482,female nudity|cyborg|nudity|murder|gore,2015,9199995.952,13187081,Action|Adventure|Science Fiction,Bazelevs Production|Versus Pictures,5.9
tt2224026,friendship|spaceship|space|alien|alien invasion,2015,124199945.4,339361177.1,Fantasy|Comedy|Animation|Science Fiction|Family,Twentieth Century Fox Film Corporation|DreamWorks Animation,6.9
tt3622592,friendship|high school|teen|classmate|based on young adult book,2015,11039995.14,78671281.38,Drama|Mystery|Romance,Fox 2000 Pictures,6.2
tt2231253,gambling|bodyguard|remake,2015,27599987.86,0,Thriller|Crime|Drama,Current Entertainment|Lionsgate|Sierra / Affinity|SJ Heat Productions|Silver State Production Services,5.3
tt3464902,dystopia,2015,3679998.381,8339346.451,Thriller|Comedy|Drama|Romance|Science Fiction,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film,6.6
tt2402927,gay|new york|female nudity|chicago|sex,2015,10855995.22,37050347.9,Romance|Drama,Killer Films|Film4|Number 9 Films,7.1
tt2361509,intern|woman director,2015,32199985.83,178999419.5,Comedy,Waverly Films|Warner Bros.,7.1
tt2719848,mountains|snow storm|hiking|snow|death,2015,50599977.74,187153294.9,Adventure|Drama,Universal Pictures|Working Title Films|Walden Media|Cross Creek Pictures|Free State Pictures,6.7
tt2446980,biography,2015,55199975.71,93043293.34,Comedy|Drama,Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment,6.4
tt2058673,undercover|undercover agent|extreme sports|fbi agent|3d,2015,96599957.5,123021160,Action|Crime|Thriller,Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions,5.5
tt2503944,london|cook|restaurant|diva|career,2015,18399991.9,33678188.74,Drama,Double Feature Films|PeaPie Films|3 Arts Entertainment,6.3
tt2140379,lie|immortality|terminal illness|laboratory|cancer,2015,23919989.48,28081355.56,Science Fiction|Mystery|Thriller,Endgame Entertainment|Ram Bergman Productions,6.2
tt3045616,based on novel|painting|debt|art dealer|stolen painting,2015,55199975.71,27985062.89,Comedy|Adventure,Lionsgate|Mad Chance|OddLot Entertainment|Huayi Brothers Media,5.3
tt0810819,paris|denmark|copenhagen|artist|art,2015,13799993.93,59056175.18,Drama,Pretty Pictures|Working Title Films|Artémis Productions|Le Tax Shelter du Gouvernement Fédéral de Belgique|Taxshelter. be,7.3
tt2717822,terrorist|technology|anti hero|hacker|computer virus,2015,64399971.66,16332697.61,Mystery|Crime|Action|Thriller|Drama,Universal Pictures|Forward Pass|Legendary Pictures,5
tt3397884,mexico|cia|smoking|texas|fbi,2015,27599987.86,77303716.71,Action|Crime|Drama|Mystery|Thriller,Lionsgate|Thunder Road Pictures|Black Label Media,7.1
tt1502712,teleportation|transformation|telekinesis|portal|marvel comic,2015,110399952.3,154539320.3,Action|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Marv Films|Marvel Entertainment|Constantin Film.|Moving Picture Company (MPC),4.4
tt4263482,witch|new england|17th century,2015,3219998.583,37190013.04,Mystery|Horror,Parts and Labor|RT Features|Rooks Nest Entertainment|Maiden Voyage Pictures|Pulse Films,5.8
tt3079380,spy|cia|undercover|arms dealer|disaster,2015,59799973.69,216812826.1,Action|Comedy|Crime,Twentieth Century Fox Film Corporation|Chernin Entertainment|Feigco Entertainment,6.9
tt2381941,seduction|con man|femme fatale|deception|con artist,2015,46091979.72,141645863.6,Romance|Comedy|Crime|Drama,Kramer & Sigman Films|RatPac-Dune Entertainment|Zaftig Films,6.7
tt2679042,assassin|secret identity|intelligence|hitman|execution,2015,32199985.83,75759810.19,Action|Crime|Thriller,Twentieth Century Fox Film Corporation|Fox International Productions|Infinite Frameworks Studios|TSG Entertainment,5.5
tt1390411,suicide|ocean|sea|hunger|shipwreck,2015,91999959.52,86315059.38,Thriller|Drama|Adventure|Action|History,Imagine Entertainment|Spring Creek Productions|Warner Bros.|Roth Films|K. JAM Media,6.4
tt3247714,new year's eve|fire|showdown|terrorist|embassy,2015,18399991.9,0,Crime|Thriller|Action,Nu Image Films|Winkler Films|Millennium Films|Survivor Productions,5.4
tt3076658,underdog|sport|spin off|underground fighting|motivational speaker,2015,32199985.83,126900665.8,Drama,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Chartoff-Winkler Productions,7.3
tt3152624,alcohol|one-night stand,2015,32199985.83,129532072.6,Comedy,Universal Pictures|Fuji Television Network|Dentsu|Apatow Productions,6.1
tt2057392,terrorist|drone|u.s. military|air force base|combat drone,2015,11959994.74,30220316.9,Drama|Thriller|War,Entertainment One|Moonlighting Films|Raindog Films,7.2
tt3569230,biography|based on true story|gangster|twins,2015,22999989.88,39535137.08,Crime|Thriller,Working Title Films|Cross Creek Pictures|Anton Capital Entertainment (ACE),6.7
tt2911668,desert|hunting,2015,0,42223.38142,Thriller,Furthur Films,5.5
tt3332064,flying|magic|fairy tale|peter pan|mermaid,2015,137999939.3,118117202.4,Adventure|Family|Fantasy,Warner Bros.|Moving Picture Company (MPC)|Berlanti Productions|RatPac-Dune Entertainment,5.9
tt3478232,sword|magic|sorcery|necromancer|woman director,2015,0,0,Action|Adventure|Fantasy,Arrowstorm Entertainment,5.1
tt2582496,tattoo|high school|leukemia|friends|parody,2015,0,0,Comedy|Drama,Indian Paintbrush,7.7
tt2452042,based on comic strip|family|3d|charlie brown|snoopy,2015,91079959.92,226534364.3,Adventure|Animation|Comedy|Family,Blue Sky Studios|Twentieth Century Fox Animation|Feigco Entertainment,6.4
tt3322364,american football|biography|professional sports|sports injury|nfl,2015,32199985.83,44733666.56,Drama,Village Roadshow Pictures|Scott Free Productions|LStar Capital|The Cantillon Company|The Shuman Company,6.9
tt3530002,male friendship|new york city|drug|christmas eve|childhood friend,2015,22999989.88,48204295.11,Comedy,Sony Pictures|Point Grey Pictures|Good Universe,6.1
tt3605418,female nudity|sex|disc jockey|infidelity|rain,2015,2299998.988,4796917.449,Drama|Horror|Thriller,Universum Film (UFA)|Dragonfly Entertainment|Black Bear Pictures|Square One Entertainment|Sobras International Pictures,4.8
tt2726560,based on novel|art student|cowboys|injury|bull riding,2015,31279986.24,57972193.01,Romance|Drama,Fox 2000 Pictures|Temple Hill Entertainment,7.3
tt2510894,transylvania|hotel|witch|technology|magic,2015,73599967.62,428888671.8,Animation|Comedy|Family,Columbia Pictures|Sony Pictures Animation,6.8
tt2279339,big family|family relationships|family|woman director|christmas,2015,15639993.12,22079990.28,Family|Comedy,Imagine Entertainment|Groundswell Productions|CBS Films,5.3
tt3488710,1970s|skyscraper|based on true story|tightrope|planning,2015,32199985.83,56287361.87,Adventure|Drama|Thriller,TriStar Pictures|Sony Pictures Entertainment|ImageMovers,6.8
tt2401097,chinese mafia|parkour|new york city|loan shark|young adult,2015,10119995.55,1714249.046,Action|Crime|Drama,Temple Hill Entertainment|Senator Film|Freerunning|Melbarken|Saban Films,5.9
tt1524930,route 66|grand canyon|cow|vacation|road trip,2015,28519987.45,96033410.71,Adventure|Comedy,New Line Cinema|BenderSpink|David Dobkin Productions,6.1
tt1029360,poltergeist|haunted house|remake|duringcreditsstinger,2015,32199985.83,87802915.85,Horror|Thriller,Ghost House Pictures|Vertigo Entertainment|Metro-Goldwyn-Mayer (MGM)|TSG Entertainment,5
tt1881002,post-apocalyptic|dystopia|zombies,2015,3679998.381,172142.9643,Horror,Lionsgate|Grindstone Entertainment Group|Silver Reel|Sly Predator|Matt Baer Films,5.1
tt3289728,illustrator|sex scene|near future|infected|emotions,2015,0,1839999.19,Drama|Romance|Science Fiction,Scott Free Productions|Infinite Frameworks Studios|Freedom Media|Route One Entertainment,5.6
tt1014763,murder|serial killer|military|chili|soviet union,2015,45999979.76,3058382.254,Crime|Thriller,Summit Entertainment|Scott Free Productions|Worldview Entertainment,5.9
tt4178092,detective|stalker|gift|bully|psychological thriller,2015,4599997.976,54260336.89,Thriller|Mystery,Blumhouse Productions|Blue-Tongue Films|STX Entertainment|Ahimsa Films,6.6
tt1528854,daddys home,2015,45999979.76,221131463.3,Comedy,Paramount Pictures|Gary Sanchez Productions|Good Universe|Red Granite Pictures,5.7
tt3608646,sword|magic|sorcery|necromancer,2015,0,0,Fantasy|Action|Adventure,Arrowstorm Entertainment|Camera 40 Productions|Bellpond Films,5.4
tt3480796,artificial intelligence|android|self-awareness|mercenary|virtual reality,2015,9199995.952,0,Thriller|Science Fiction|Action|Adventure,Grindstone Entertainment Group|K5 International|Emmett/Furla Films|Aperture Entertainment,4.1
tt1754656,philosophy|utopia|airplane|adventure|dystopia,2015,58879974.09,89765510.5,Adventure|Animation|Fantasy,Onyx Films|Orange Studios|CityMation|On Entertainment|Zippcast Films,7.5
tt2974918,chipmunk|cgi|talking animal|aftercreditsstinger|duringcreditsstinger,2015,0,215055014.1,Adventure|Animation|Comedy|Family,Regency Enterprises|Fox 2000 Pictures|Sunswept Entertainment|Bagdasarian Productions|TSG Entertainment,5.7
