imdb_id,keywords,release_year,budget_adj,revenue_adj,genres,production_companies,vote_average,on_novel,producer
tt0369610,monster|dna|tyrannosaurus rex|velociraptor|island,2015,137999939.3,1392445893,Action|Adventure|Science Fiction|Thriller,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,6.5,not based on novel,Neither
tt1392190,future|chase|post-apocalyptic|dystopia|australia,2015,137999939.3,348161292.5,Action|Adventure|Science Fiction|Thriller,Village Roadshow Pictures|Kennedy Miller Productions,7.1,not based on novel,Neither
tt2908446,based on novel|revolution|dystopia|sequel|dystopic future,2015,101199955.5,271619025.4,Adventure|Science Fiction|Thriller,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel,6.3,based on novel,Neither
tt2488496,android|spaceship|jedi|space opera|3d,2015,183999919,1902723130,Action|Adventure|Science Fiction|Fantasy,Lucasfilm|Truenorth Productions|Bad Robot,7.5,not based on novel,Neither
tt2820852,car race|speed|revenge|suspense|car,2015,174799923.1,1385748801,Action|Crime|Thriller,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,7.3,not based on novel,Universal Picures
tt1663202,father-son relationship|rape|based on novel|mountains|winter,2015,124199945.4,490314247,Western|Drama|Adventure|Thriller,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,7.2,based on novel,Neither
tt1340138,saving the world|artificial intelligence|cyborg|killer robot|future,2015,142599937.3,405355075.7,Science Fiction|Action|Thriller|Adventure,Paramount Pictures|Skydance Productions,5.8,not based on novel,Paramount Pictures
tt3659388,based on novel|mars|nasa|isolation|botanist,2015,99359956.28,547749654.3,Drama|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment,7.6,based on novel,Neither
tt2293640,assistant|aftercreditsstinger|duringcreditsstinger|evil mastermind|minions,2015,68079970.04,1064192017,Family|Animation|Adventure|Comedy,Universal Pictures|Illumination Entertainment,6.5,not based on novel,Universal Picures
tt2096673,dream|cartoon|imaginary friend|animation|kid,2015,160999929.2,785411574.7,Comedy|Animation|Family,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures,8,not based on novel,Neither
tt2379713,spy|based on novel|secret agent|sequel|james bond,2015,225399900.8,810220283.8,Action|Adventure|Crime,Columbia Pictures|Danjaq|B24,6.2,based on novel,Neither
tt2120120,video game|nerd|alien attack|3d|pixels,2015,80959964.38,224146025.1,Action|Comedy|Science Fiction,Columbia Pictures|Happy Madison Productions,5.8,not based on novel,Neither
tt2395427,marvel comic|comic|sequel|superhero|vision,2015,257599886.7,1292632337,Action|Adventure|Science Fiction,Marvel Studios|Prime Focus|Revolution Sun Studios,7.4,not based on novel,Neither
tt3460252,bounty hunter|wyoming|mountains|hangman|voice over narration,2015,40479982.19,143299244.6,Crime|Drama|Mystery|Western,Double Feature Films|The Weinstein Company|FilmColony,7.4,not based on novel,Neither
tt2446042,revenge|murder|on the run|fugitive|framed,2015,44159980.57,299709578.2,Crime|Action|Thriller,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|Ciné+,6.1,not based on novel,Neither
tt0478970,marvel comic|superhero|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe,2015,119599947.4,477113780,Science Fiction|Action|Adventure,Marvel Studios,7,not based on novel,Neither
